trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-207.44491180264552,"{0: 12, 1: 3, 2: 4, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1}",20,0,-180.74585346402947,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-111.96037980323699,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1}",25,0,-131.77850510879614,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1}",25,17,-38.59709071894757,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1}",20,0,-57.33780725815371,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1}",20,12,-41.895574825235734,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1}",20,0,-124.3712471817978,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-101.44131951974057,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1}",20,0,-114.84036338722439,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1}",20,0,-79.33148767187632,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1}",35,0,-278.87477741675406,"{0: 13, 1: 5, 2: 13, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1}",30,0,-183.12859131070684,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1}",30,8,-177.2938208987706,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 3}",1
15,False,"{'a': 0.5, 'e': 1}",25,16,-7.482438867114306,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1}",25,0,-121.44712574945893,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1}",20,0,-133.18990470857423,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1}",20,10,-26.929594459428447,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1}",20,7,-14.95372114407758,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1}",30,0,-215.9772756084578,"{0: 16, 1: 1, 2: 7, 3: 4, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1}",35,0,-205.48043010160114,"{0: 19, 1: 5, 2: 6, 3: 3, 4: 2}",0
22,False,"{'a': 0.5, 'e': 1}",20,0,-68.06165076425579,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1}",25,0,-114.46719093300923,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 1}",30,0,-180.71222347806275,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 1}",30,0,-182.74922580158653,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 1}",20,0,-152.7044493531929,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
