trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.21950226915686,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.86554101723974,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,3,-53.523996181686776,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.85728381865462,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,14,-2.048247145431332,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.39697939702856,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.3372634472898,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.0826481229675,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.08977657877007,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.83417453033985,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.57296499509589,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.24024435969935,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.15235537568206,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.67298503330665,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.43265005832019,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.0219111508815,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.151193741396366,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-247.29417116869033,"{0: 20, 1: 3, 2: 5, 3: 4, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.38139061802246,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.74803065276264,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-147.1395731945273,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.04071168914217,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.01311787467732,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.48358513206193,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.8600484536153,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.46616721500814,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.2961841833605,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.44116374870824,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.80743600382598,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,6,-55.69259117095812,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 0}",1
